WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJP989,97,254,4,3623.72,WSWP,115647.32482910155,88.79860564775299,4552.374267578125,115647.32482910155,101843.89263808727,2
BEGJP859,52,412,2,3224.62,WSWP,100476.43530273438,1230.13014440774,95324.34559392928,100476.43530273438,98923.16997373848,2
BEGJP855,120,457,13,3794.08,WSWP,74587.77416992188,1147.5407378070522,118704.97717285155,74587.77416992188,72428.68275438249,2
BEGJP558,121,489,4,3819.12,WSWP,76999.39318847656,1778.4536573411897,106743.89557647704,76999.39318847656,70840.37133683264,2
BEGJP88P,95,259,11,3606.73,WSWP,38355.93603515625,692.6311149895192,45019.830963134766,38355.93603515625,25198.138785801828,2
BEGJP55P,135,502,4,3985.47,WSWP,60119.35595703125,1328.7591166496275,57383.8319041729,60119.35595703125,12465.780481270776,2
BEGJP888,76,315,4,3341.24,WSWP,29059.55499267578,0.5821263056714088,3077.449615478516,29059.55499267578,42627.92720326223,2
BEGJP999,133,92,3,3933.54,WSWP,71972.94604492188,582.2200618446805,5130.743903309107,71972.94604492188,54270.358646977686,2
BEGJP883,58,397,2,3249.83,WSWP,95115.982421875,136.14015363808718,8311.256493091583,95115.982421875,74901.94384945929,2
BEGJP185,109,591,1,3920.72,WSWP,26709.13217163086,78.4676327817142,2859.606689453125,26709.13217163086,8428.903147445177,2
BEGJP559,140,472,7,4039.39,WSWP,83117.57495117188,276.7620849609375,8561.783929275349,83117.57495117188,2568.8108250502264,2
BEGJP15P,116,542,2,3846.25,WSWP,27298.63836669922,1922.1404103362,97637.81431573632,27298.63836669922,35393.64660335431,2
BEGJP551,51,407,4,3242.87,WSWP,33914.46203613281,442.47845331043936,6962.376795768738,33914.46203613281,20019.30004298548,2
BEGJP981,115,321,7,3713.38,WSWP,94243.21752929688,519.3075055778027,18232.188720703125,94243.21752929688,42402.19097936154,2
BEGJP889,75,306,3,3393.87,WSWP,32179.750244140625,17.45671649137512,6253.6090710163135,32179.750244140625,28114.411595486104,2
BEGJP511,104,450,8,3614.48,WSWP,30844.974609375,356.2513207679149,658.052095413208,30844.974609375,9700.406438106203,2
BEGJP822,113,285,1,3722.45,WSWP,101789.6279296875,2564.4639007077785,84128.71938961744,101789.6279296875,49614.568930633024,2
BEGJP983,110,260,3,3721.4,WSWP,94839.10144042967,755.6833950714207,47321.39929199219,94839.10144042967,111111.74913197756,2
BEGJP881,121,408,3,3775.46,WSWP,39903.032775878906,1393.184086007066,62685.77763453871,39903.032775878906,52288.47721597925,2
BEGJP992,118,89,221,4455.49,WSWP,82122.05920410156,721.1531869228929,5148.964920759201,82122.05920410156,19297.19183731079,1
BEGJP11P,136,528,10,4034.52,WSWP,76981.11120605469,1480.3858870770782,130694.29357147215,76981.11120605469,57999.86066877281,2
BEGJP982,116,385,3,3713.3,WSWP,84352.66680908202,1347.0713760796934,83997.29400634767,84352.66680908202,89024.96659883857,2
